iter	Passed	Remaining
411	3579	5109
412	3589	5101
413	3596	5091
414	3604	5081
415	3611	5070
416	3619	5059
417	3625	5048
418	3632	5037
419	3640	5026
420	3646	5015
421	3654	5006
422	3661	4994
423	3669	4984
424	3676	4974
425	3684	4964
426	3691	4953
427	3698	4942
428	3706	4933
429	3713	4922
430	3721	4913
431	3728	4902
432	3736	4892
433	3743	4881
434	3750	4871
435	3757	4861
436	3765	4851
437	3772	4840
438	3779	4830
439	3787	4820
440	3794	4809
441	3803	4801
442	3810	4791
443	3818	4781
444	3825	4770
445	3832	4761
446	3839	4750
447	3847	4740
448	3854	4729
449	3860	4718
450	3869	4709
451	3877	4700
452	3885	4692
453	3892	4681
454	3900	4672
455	3907	4661
456	3916	4653
457	3923	4643
458	3931	4634
459	3938	4623
460	3946	4614
461	3953	4604
462	3960	4593
463	3968	4584
464	3975	4573
465	3983	4564
466	3990	4554
467	3997	4544
468	4004	4534
469	4012	4525
470	4021	4516
471	4029	4507
472	4035	4496
473	4043	4486
474	4050	4477
475	4057	4466
476	4065	4457
477	4072	4447
478	4081	4438
479	4088	4429
480	4097	4421
481	4104	4411
482	4112	4402
483	4119	4392
484	4128	4383
485	4135	4373
486	4143	4365
487	4150	4354
488	4158	4346
489	4166	4336
490	4174	4327
491	4182	4318
492	4190	4309
493	4200	4302
494	4208	4293
495	4216	4284
496	4225	4276
497	4234	4268
498	4245	4262
499	4259	4259
500	4269	4252
501	4281	4247
502	4293	4242
503	4302	4233
504	4314	4228
505	4329	4226
506	4347	4227
507	4361	4224
508	4375	4221
509	4384	4212
510	4399	4209
511	4415	4208
512	4430	4206
513	4444	4202
514	4456	4196
515	4466	4189
516	4481	4187
517	4496	4184
518	4508	4178
519	4517	4169
520	4530	4165
521	4544	4161
522	4557	4156
523	4565	4147
524	4579	4142
525	4590	4137
526	4599	4127
527	4612	4122
528	4625	4118
529	4636	4111
530	4646	4103
531	4658	4097
532	4665	4088
533	4676	4081
534	4686	4073
535	4695	4064
536	4708	4059
537	4723	4056
538	4731	4047
539	4742	4040
540	4754	4033
541	4762	4024
542	4771	4015
543	4779	4005
544	4787	3997
545	4795	3987
546	4806	3980
547	4815	3971
548	4824	3962
549	4833	3954
550	4841	3945
551	4850	3936
552	4858	3927
553	4868	3919
554	4877	3911
555	4887	3903
556	4896	3894
557	4906	3886
558	4915	3878
559	4926	3870
560	4937	3863
561	4948	3856
562	4958	3848
563	4970	3842
564	4985	3838
565	5000	3834
566	5012	3827
567	5025	3821
568	5041	3818
569	5059	3816
570	5074	3812
571	5091	3809
572	5106	3805
573	5122	3801
574	5135	3795
575	5144	3786
576	5155	3779
577	5170	3774
578	5186	3771
579	5199	3764
580	5212	3759
581	5223	3751
582	5237	3746
583	5252	3741
584	5266	3735
585	5277	3728
586	5287	3720
587	5299	3712
588	5308	3704
589	5317	3694
590	5325	3685
591	5333	3675
592	5342	3667
593	5351	3657
594	5360	3649
595	5369	3639
596	5378	3630
597	5386	3621
598	5395	3612
599	5403	3602
600	5412	3593
601	5418	3582
602	5426	3572
603	5433	3562
604	5441	3552
605	5448	3542
606	5455	3532
607	5463	3522
608	5470	3512
609	5478	3502
610	5485	3492
611	5492	3482
612	5499	3472
613	5507	3462
614	5514	3452
615	5522	3442
616	5529	3432
617	5537	3422
618	5544	3412
619	5551	3402
620	5559	3393
621	5571	3385
622	5578	3375
623	5587	3367
624	5595	3357
625	5603	3347
626	5610	3337
627	5619	3328
628	5629	3320
629	5639	3312
630	5647	3302
631	5658	3295
632	5670	3287
633	5679	3278
634	5689	3270
635	5699	3262
636	5711	3254
637	5721	3246
638	5729	3236
639	5737	3227
640	5744	3217
641	5753	3208
642	5760	3198
643	5769	3189
644	5777	3179
645	5785	3170
646	5792	3160
647	5801	3151
648	5809	3141
649	5817	3132
650	5823	3122
651	5830	3112
652	5838	3102
653	5845	3092
654	5854	3083
655	5861	3073
656	5869	3064
657	5877	3054
658	5885	3045
659	5891	3035
660	5899	3025
661	5906	3015
662	5912	3005
663	5922	2996
664	5929	2986
665	5936	2977
666	5943	2967
667	5952	2958
668	5958	2948
